actor_id,type
d5f34ea24e844aa284d3ebc1b057a918,barrier
07bf3d834d04482e8f90e3756358250e,barrier
39f727108189464dadaec4bf8d88ce6e,barrier
21d4060224a946e5b66fd00749282e82,pedestrian
2397a588f42e4195bf7fb0148aa7a3d6,pedestrian
3993afe444aa4497b1fec37c89fcc369,pedestrian
7e799fdef2e94598b5e29af80a587359,car
2d7491faabc447769e1f2003f23c50e9,car
19804c352c0a4767b61b8d0709d1db99,pedestrian
7c6e078abfa74db5a5439711383a8f5b,car
d02ce7e39f534cb8b67ef101e32dbba7,car
fb0b1fa4a33a43ea9cc802ba14a40586,car
b61b72a5b5ad482e9bc94c203f75b8d4,pedestrian
340ccb3c0dcb492eaa032f0e4e3017bb,pedestrian
9cbb3b5b8bf849599abcb0228eea3edd,car
813f2ab6ce964dce81bf47aadc0c854f,car
eba0e66da99b4127bcbc5f75e8dd8a1a,barrier
9e94bea2db384cf1ba7264e02920b1d8,car
254ca291f1ee4223a0b1e392d4885fd2,car
9c81acda9a6d4d15bd4e4a315a669d71,car
e2afd7eaa5c04cff9e59ca025e14249c,bicycle
afd097377c71479ea8349eeae83b8143,pedestrian
b4db00c7834047799104363c10eca351,barrier
4604a50b23154c4b88b1e8e2e724b2bf,barrier
e8ee78065abc41ac9dcae839a29eac0b,car
888521a8b57f46258e81a89bf062278b,car
f442a98a9a354484aef5240bb21e7691,car
de98ed230109473dae7d8d84af61208e,barrier
ego,car
bdb82f4d50ce47e6b3925471c049355e,car
75bbb97a65904d61b345fd500f3c6e2f,car
2fb9e666a5d04e3f9888dad909324f75,car
451f91f4b7b548f890ef4ba5c2685e8b,barrier
18cdcf0d2340409b95140ea38a70fd2e,pedestrian
4f41f55039c34783b0f63a3ebc196434,pedestrian
31661f744ec44e71b012c83cb06fa233,pedestrian
f53b4aa3d74e473c90afb956e618e3ce,pedestrian
ff07eea720434dc0ba0ccdef45cb318c,car
c99728ce46204cd38f19f1aa6c60b162,barrier
c7d9c788b68c4e2fae96140ccfa8e1c8,barrier
b2a522c239af44e0927a51c941bd256e,car
01a9922c1b7d457cb37880b8de3b7093,barrier
2e19253f3bac458191cf64ff2b22ba2b,car
7a8b24608009457b963da57aa18beb58,car
33d05c05532f40f692cf61f35c123df3,car
13d6281dd1be482a95e7ef4148fd0611,car
6b9c9912fecb4847b93e81eb10da83a2,barrier
94e0b9b077774f18a74f53c5305a368d,pedestrian
4c6a549e64dc4a0c9c1b75b2d615ae51,barrier
d2583621ada8434c9b7265403b95054f,car
ccf1034122fb42f99f0fb333310040ef,barrier
3a4f8b672b5d47f594785b4ef502f005,barrier
6a0d7a293cc34a84b9857a4fa38cd4a3,car
078a2d6a465b4200a2aab9ff75558fad,car
73b29b41f1c34b7987da26755270451b,barrier
d9a4df9e92804a44a039eb21e0dc1349,car
6ae762f1bc254d00bfb5ae9d66ffe376,car
